"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Profile - Phone Number","","0","4","0","0","0"
"","Wallet - USD Wallet","","0","7","0","0","0"
"","Wallet - Transaction History - US Stock","","0","12","0","0","0"
"","Wallet - IDR Wallet - Withdraw","","0","18","0","0","0"
"","Wallet - Transaction History - General","","0","51","0","0","0"
"","Wallet - USD Wallet - Buy/Sell","","0","6","0","0","0"
"","Crypto - Discovery","","0","6","0","0","0"
"","Wallet Home","","0","11","0","0","0"
"","Home","","0","7","0","0","0"
"","Wallet - IDR Wallet - Deposit","","0","27","0","0","0"
"","Profile - Setup Withdrawal Account","","0","6","0","0","0"
"","Wallet - Crypto Wallet - Send Coin #2","","0","21","0","0","0"
"","Crypto - Trading History","","0","20","0","0","0"
"","Profile - Change Password","","0","5","0","0","0"
"","Wallet - Transaction History - USD","","0","10","0","0","0"
"","Wallet - Transaction History - IDR","","0","13","0","0","0"
"","Wallet - Crypto Wallet - Receive Coin","","0","3","0","0","0"
"","Crypto - Market","","0","5","0","0","0"
"","Wallet - Crypto Wallet - Send Coin #1","","0","6","0","0","0"
"","Wallet - Crypto Wallet","","0","11","0","0","0"
"","Wallet - US Stock - Transaction Detail","","0","4","0","0","0"
"","Wallet - US Stock Wallet","","0","7","0","0","0"
"","US Stock - Discovery","","0","6","0","0","0"
"","Wallet - Crypto - Transaction Detail","","0","7","0","0","0"
"","US Stock - Market","","0","6","0","0","0"
"","Profile - PIN","","0","1","0","0","0"
"","Wallet - Transaction History - Crypto","","0","15","0","0","0"
"","Wallet - USD Wallet - Yield","","0","7","0","0","0"
"","Profile","","0","8","0","0","0"
"","Wallet - IDR Wallet","","0","7","0","0","0"
"","Wallet - IDR Wallet - Transaction Detail","","0","7","0","0","0"
"","Login","","0","4","0","0","0"
"","Wallet - USD - Transaction Detail","","0","3","0","0","0"
"","Sign Up","","0","1","3","0","0"
"","Watchlist","","0","7","0","0","0"
"","Profile - My Account","","0","3","0","0","0"
"","Forgot Password","","0","3","0","0","0"
"","KYC - Bappebti","","0","0","3","0","0"
"","Profile - Google Authenticator","","0","1","0","0","0"
"","Home Non-login","","0","1","0","0","0"
