"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 25 09:13:18 UTC 2024","Tue Jun 25 09:14:27 UTC 2024","68593","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with status success [MOBILE2-3112] | BETA-V3",""
"broken","Tue Jun 25 09:28:25 UTC 2024","Tue Jun 25 09:30:23 UTC 2024","117430","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with status in process [MOBILE2-3123] | BETA-V3",""
"passed","Tue Jun 25 09:09:16 UTC 2024","Tue Jun 25 09:10:59 UTC 2024","103481","","Wallet - Transaction History - Crypto","","","","User can see empty state when no transaction on filter transaction history Crypto [MOBILE2-3107] | BETA-V3",""
"passed","Tue Jun 25 09:17:39 UTC 2024","Tue Jun 25 09:19:10 UTC 2024","91075","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with select multiple transaction type and status [MOBILE2-3108] | BETA-V3",""
"passed","Tue Jun 25 09:24:21 UTC 2024","Tue Jun 25 09:25:34 UTC 2024","72578","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type Send [MOBILE2-3111] | BETA-V3",""
"passed","Tue Jun 25 09:07:16 UTC 2024","Tue Jun 25 09:09:16 UTC 2024","119860","","Wallet - Transaction History - Crypto","","","","User successfully redirected to Crypto wallet transaction history [MOBILE2-3103] | BETA-V3",""
"passed","Tue Jun 25 09:14:27 UTC 2024","Tue Jun 25 09:16:33 UTC 2024","126645","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with status failed [MOBILE2-3113] | BETA-V3",""
"broken","Tue Jun 25 09:26:37 UTC 2024","Tue Jun 25 09:28:25 UTC 2024","108469","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type receive [MOBILE2-3122] | BETA-V3",""
"passed","Tue Jun 25 09:16:33 UTC 2024","Tue Jun 25 09:17:39 UTC 2024","65446","","Wallet - Transaction History - Crypto","","","","User can't filter the transaction history Crypto with select date more than 1 year [MOBILE2-3260] | BETA-V3",""
"passed","Tue Jun 25 09:10:59 UTC 2024","Tue Jun 25 09:12:17 UTC 2024","77646","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type buy [MOBILE2-3161] | BETA-V3",""
"passed","Tue Jun 25 09:21:08 UTC 2024","Tue Jun 25 09:22:35 UTC 2024","86375","","Wallet - Transaction History - Crypto","","","","User can unselect filter the transaction history Crypto [MOBILE2-3119] | BETA-V3",""
"passed","Tue Jun 25 09:19:10 UTC 2024","Tue Jun 25 09:21:08 UTC 2024","118476","","Wallet - Transaction History - Crypto","","","","User can see total filter notification in the icon filter and reset filter transaction history Crypto [MOBILE2-3118 MOBILE2-3120] | BETA-V3",""
"passed","Tue Jun 25 09:12:17 UTC 2024","Tue Jun 25 09:13:18 UTC 2024","61124","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type sell [MOBILE2-3110] | BETA-V3",""
"passed","Tue Jun 25 09:25:34 UTC 2024","Tue Jun 25 09:26:37 UTC 2024","62724","","Wallet - Transaction History - Crypto","","","","User can filter the transaction history Crypto with transaction type reward [MOBILE2-3121] | BETA-V3",""
"broken","Tue Jun 25 09:22:35 UTC 2024","Tue Jun 25 09:24:21 UTC 2024","106491","","Wallet - Transaction History - Crypto","","","","User successfully redirected to Crypto transaction detail page [MOBILE2-3105] | BETA-V3",""
